time,date,hour,minute,second,bid,ofr,bidsiz,ofrsiz,bid_offer_diff
2010-01-04 12:45:00,20100104.0,12.0,46.753852832645975,32.507705665291944,58.73573909268315,58.74686998046494,4.692641632298676,3.8523985239852396,0.01113088777946605
2010-01-04 12:50:00,20100104.0,12.0,52.243865798698046,23.917876815222833,58.63189283925784,58.713500250375674,4.328993490235353,4.327991987981973,0.08160741111667379
2010-01-04 12:55:00,20100104.0,12.0,57.1033762617473,33.532544378698226,58.54794639749289,58.613223111729134,5.4577097111033765,4.430212321615037,0.0652767142359866
2010-01-04 13:00:00,20100104.0,13.0,1.7745069178687076,26.61966440977333,58.70539299381836,58.694280247276396,4.9019723285251695,4.215484250809538,-0.011112746541064525
2010-01-04 13:05:00,20100104.0,13.0,7.221151271753682,32.79330655957162,58.688840696116124,58.729855421685656,5.3095046854082995,4.147791164658635,0.041014725568942985
2010-01-04 13:10:00,20100104.0,13.0,11.969347133757962,31.025875796178344,58.696942675157565,58.74361066879074,4.18312101910828,4.271894904458598,0.04666799363056891
2010-01-04 13:15:00,20100104.0,13.0,17.488463426607755,30.523809523809526,58.656175748649446,58.710893470789806,5.720176730486009,4.2528227785959745,0.05471772214040171
2010-01-04 13:20:00,20100104.0,13.0,22.409741508224737,30.486220892971588,58.59871822260152,58.709724417859746,4.712454603717155,4.885280922879726,0.11100619525740882
2010-01-04 13:25:00,20100104.0,13.0,27.210542259921237,33.691002726446534,58.6777552256886,58.719088155102774,5.164495607391699,4.849439563768555,0.04133292941532812
2010-01-04 13:30:00,20100104.0,13.0,31.3874139626352,27.156669944280562,58.652795804653316,58.67661422484323,3.916093084234677,4.310062274664045,0.023818420190103513
2010-01-04 13:35:00,20100104.0,13.0,36.84975711311589,30.20090215128383,58.67256766134497,58.71579805690477,4.00971547536433,4.29354614850798,0.043230395558637724
2010-01-04 13:40:00,20100104.0,13.0,42.0583908045977,27.998620689655173,58.686179310345345,58.655457471265656,3.6160919540229886,3.7324137931034485,-0.030721839080459272
2010-01-04 13:45:00,20100104.0,13.0,47.07203389830509,33.965160075329564,58.651779661017,58.617683615819274,4.673728813559322,4.17984934086629,-0.034096045197739934
2010-01-04 13:50:00,20100104.0,13.0,51.80798937967656,31.321626840453778,58.76709872073132,58.78086652184448,5.4209510016895965,4.182114409847936,0.01376780111030609
2010-01-04 13:55:00,20100104.0,13.0,56.927508090614886,29.119741100323626,58.66910248112159,58.67896655879143,4.426752966558792,3.912837108953614,0.009864077669901423
2010-01-04 14:00:00,20100104.0,14.0,1.889657980456026,22.017508143322477,58.71189332247539,58.704922638436365,4.739820846905538,5.003664495114006,-0.006970684039087579
2010-01-04 14:05:00,20100104.0,14.0,6.86333184457347,23.69227333631085,58.61096025011133,58.472684234033665,5.9365788298347475,5.1125502456453775,-0.13827601607861315
2010-01-04 14:10:00,20100104.0,14.0,12.070287539936102,26.831309904153354,58.68350798722197,58.69978274760256,6.035782747603834,8.975079872204473,0.016274760383388275
2010-01-04 14:15:00,20100104.0,14.0,17.18171353395823,29.85084690018089,58.7278161486608,58.69080249958786,5.513402400920901,6.185989146521954,-0.037013649070882323
2010-01-04 14:20:00,20100104.0,14.0,22.43196092114445,26.42707606420098,58.760254710397966,58.73900558269198,6.260293091416608,5.672016748080949,-0.021249127704116234
2010-01-04 14:25:00,20100104.0,14.0,26.94023610427939,30.734628627643875,58.699663059515316,58.70564928677079,4.666502705361535,6.17806197737334,0.005986227250368475
2010-01-04 14:30:00,20100104.0,14.0,31.862895493767976,31.248801534036435,58.704360019174345,58.72503116011375,4.842042186001917,4.708772770853308,0.02067114093959707
2010-01-04 14:35:00,20100104.0,14.0,37.219599794766545,31.741149307337096,58.71847101077459,58.72457670600363,5.873011800923551,5.256798358132375,0.006105695228322489
2010-01-04 14:40:00,20100104.0,14.0,42.44224353628023,29.109466221851545,58.73806296913879,58.77235404503676,5.410133444537114,4.775437864887406,0.03429107589658003
2010-01-04 14:45:00,20100104.0,14.0,46.83571837435604,27.25071551230681,58.78301659988448,58.80440469376053,5.346021751574127,5.209215798511734,0.021388093875214887
2010-01-04 14:50:00,20100104.0,14.0,51.57584793142005,31.765560939247113,58.66076034289985,58.6572791651153,6.298546403279911,5.437197167349981,-0.0034811777860597566
2010-01-04 14:55:00,20100104.0,14.0,57.9612551159618,29.847203274215552,58.621811732606986,58.559678035470746,9.355525238744884,7.530150068212824,-0.06213369713507024
2010-01-04 15:00:00,20100104.0,15.0,1.7105125065593842,29.905719783103027,58.62174042330386,58.62096379219803,7.082560783627777,5.439041455308728,-0.000776631100227573
2010-01-04 15:05:00,20100104.0,15.0,6.707666542612579,33.88965388909565,58.63817082247823,58.59318012653494,7.095831782657238,5.800148864905099,-0.044990695943432225
2010-01-04 15:10:00,20100104.0,15.0,11.976541674071441,27.09276701617203,58.647160120849314,58.65336946863036,6.7298738226408386,6.13257508441443,0.006209347787454466
2010-01-04 15:15:00,20100104.0,15.0,17.22305475504323,30.938904899135448,58.65163256484543,58.66620028818052,7.469164265129683,5.680835734870317,0.014567723342939662
2010-01-04 15:20:00,20100104.0,15.0,22.051679066961594,34.108184194651116,58.59890006032774,58.54892016891123,6.849788859843153,5.6125075407198874,-0.049979891413639385
2010-01-04 15:25:00,20100104.0,15.0,26.789121792555115,32.48192988796531,58.614898807377216,58.624508492949055,6.826346223346585,7.966931694976509,0.009609685580050218
2010-01-04 15:30:00,20100104.0,15.0,31.982630272952854,31.431348221670802,58.52063482216289,58.49023986766059,10.283291976840363,9.189412737799834,-0.030394954507861744
2010-01-04 15:35:00,20100104.0,15.0,37.04326988908667,31.52540052033411,58.501685608651215,58.51093934000198,11.312611255648363,9.335067780364234,0.009253731343281467
2010-01-04 15:40:00,20100104.0,15.0,41.74102022336251,28.90024147298521,58.54478267430716,58.50820102626256,14.731512224569876,13.130244491397525,-0.036581648053124284
2010-01-04 15:45:00,20100104.0,15.0,46.59154929577465,32.32914604745591,58.52291714249172,58.48652328384926,23.08983631518843,15.169014084507042,-0.0363938586473835
2010-01-04 15:50:00,20100104.0,15.0,51.93874475185704,31.173430939821294,58.495994186670444,58.47902034664865,17.82032511572828,17.824523630100117,-0.016973840025836733
2010-01-04 15:55:00,20100104.0,15.0,57.204565331467556,28.967727829281092,58.385815112827665,58.425396186816855,31.103026062620255,18.690659436767536,0.0395810739898447
2010-01-04 16:00:00,20100104.0,16.0,0.3466666666666667,13.12,51.89106666666668,54.36653333333331,5.053333333333334,8.653333333333334,2.475466666666667
2010-01-04 16:05:00,20100104.0,16.0,6.6,24.12,58.3984,58.636,3.92,3.52,0.23760000000000048
2010-01-04 16:10:00,20100104.0,16.0,12.545454545454545,31.363636363636363,58.47909090909091,58.647272727272714,2.4545454545454546,4.363636363636363,0.16818181818181832
2010-01-04 16:15:00,20100104.0,16.0,16.61111111111111,27.333333333333332,55.207777777777785,55.470555555555556,2.0,3.7777777777777777,0.2627777777777808
2010-01-04 16:20:00,20100104.0,16.0,21.5,33.375,58.440000000000005,58.75812500000001,2.5,4.375,0.3181250000000033
2010-01-04 16:25:00,20100104.0,16.0,26.391304347826086,28.47826086956522,58.43478260869566,58.73913043478261,2.347826086956522,3.869565217391304,0.3043478260869602
2010-01-04 16:30:00,20100104.0,16.0,32.0,32.18181818181818,58.439090909090915,58.77818181818182,2.5454545454545454,4.818181818181818,0.33909090909091266
2010-01-04 16:35:00,20100104.0,16.0,36.68421052631579,25.105263157894736,58.43000000000001,58.7763157894737,2.4210526315789473,3.8421052631578947,0.34631578947368746
2010-01-04 16:40:00,20100104.0,16.0,42.375,26.375,58.42208333333332,58.732916666666675,5.666666666666667,2.125,0.31083333333333424
2010-01-04 16:45:00,20100104.0,16.0,46.8235294117647,39.88235294117647,58.32882352941178,58.77529411764704,1.7058823529411764,2.0588235294117645,0.4464705882352935
2010-01-04 16:50:00,20100104.0,16.0,51.4375,31.0,58.29437500000001,58.76374999999999,1.875,2.0,0.46937499999999854
2010-01-04 16:55:00,20100104.0,16.0,56.904761904761905,15.714285714285714,58.253333333333345,58.82714285714286,2.3333333333333335,2.4285714285714284,0.573809523809523
2010-01-04 17:00:00,20100104.0,17.0,1.6,13.24,53.52160000000001,54.14160000000002,2.2,2.12,0.6199999999999994
2010-01-04 17:05:00,20100104.0,17.0,8.070175438596491,29.105263157894736,58.38701754385965,59.0124561403509,2.526315789473684,3.0350877192982457,0.6254385964912297
2010-01-04 17:10:00,20100104.0,17.0,11.258823529411766,20.623529411764707,58.40741176470584,59.13035294117653,4.176470588235294,3.7411764705882353,0.7229411764705918
2010-01-04 17:15:00,20100104.0,17.0,18.027027027027028,34.770270270270274,58.22770270270273,59.127297297297275,5.905405405405405,3.8513513513513513,0.8995945945945965
2010-01-04 17:20:00,20100104.0,17.0,22.772727272727273,11.727272727272727,58.290909090909096,58.77863636363638,4.454545454545454,1.2727272727272727,0.48772727272727195
2010-01-04 17:25:00,20100104.0,17.0,27.115384615384617,6.346153846153846,58.378846153846126,58.78807692307693,4.538461538461538,1.5769230769230769,0.4092307692307682
